Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Gender,Country,Clicked on Ad,month,day,hour
43.49,37.0,53058.91,230.52,40,103,0,41,0,1,11,8
50.08,29.0,69718.19,120.06,363,499,0,193,0,0,4,16
50.08,40.0,57330.43,140.46,525,475,0,28,1,5,10,9
50.19,36.0,32549.95,141.52,7,519,1,84,1,0,2,16
73.93,33.0,43974.49,196.77,268,407,0,23,1,4,11,21
39.3,29.0,53431.35,158.56,242,37,0,34,0,0,13,0
55.6,54.0,53188.69,182.2,546,477,0,169,1,0,15,23
74.63,27.0,66815.54,214.42,249,161,0,52,0,6,17,1
83.97,41.0,57846.68,227.63,175,483,1,187,0,0,7,9
68.01,33.0,56782.18,227.37,459,328,1,9,1,6,13,22
56.39,46.0,58966.22,253.48,363,406,1,9,0,0,17,2
80.3,37.0,23936.86,181.02,47,506,0,119,1,4,7,22
61.22,36.0,50628.31,115.26,422,224,1,129,0,5,19,8
47.74,32.0,69481.85,178.92,35,234,1,174,0,0,8,3
88.04,38.0,64564.07,206.98,76,436,1,203,1,0,14,19
59.59,34.0,59785.94,203.44,182,284,0,188,1,1,10,20
40.04,34.0,59785.94,160.03,45,284,0,24,1,3,26,4
33.33,25.0,50671.6,105.86,513,225,1,81,0,6,7,17
89.05,49.0,64564.07,187.76,388,248,1,180,1,5,23,8
84.0,36.0,70592.81,141.52,343,123,1,93,0,5,19,8
52.68,32.0,69481.85,118.27,447,298,1,161,1,3,5,21
75.84,45.0,70053.27,157.04,180,27,1,187,1,6,16,1
81.59,45.0,45716.48,174.88,426,515,0,23,1,5,29,0
59.05,50.0,43974.49,123.13,180,27,0,138,1,5,2,3
86.06,35.0,51119.93,143.79,488,185,1,119,1,2,3,10
41.73,28.0,71222.4,204.79,328,382,0,1,0,2,19,2
40.47,35.0,25603.93,236.87,302,516,0,192,0,6,17,1
61.84,38.0,57868.44,170.13,349,436,0,98,1,0,14,19
59.51,30.0,57877.15,219.94,462,184,0,149,0,5,28,10
79.91,30.0,57877.15,111.94,85,247,1,20,0,2,17,13
39.3,29.0,53431.35,158.56,548,494,0,191,1,1,2,19
44.4,32.0,55424.24,172.83,15,184,0,96,0,3,27,22
54.43,37.0,53058.91,258.62,548,506,0,191,1,5,19,14
61.22,45.0,60315.19,137.24,122,515,1,176,1,6,9,17
59.59,33.0,36752.24,115.35,468,519,0,68,1,4,11,21
79.6,23.0,62784.85,146.8,481,333,0,44,1,0,13,14
37.0,32.0,55424.24,219.94,161,129,0,12,0,3,27,22
55.6,35.0,54286.1,236.87,256,115,0,116,1,5,19,14
40.04,23.0,25739.09,172.81,40,333,0,62,0,2,19,7
64.75,25.0,50506.44,176.28,80,461,0,98,0,3,27,2
51.56,45.0,74903.41,124.67,17,515,0,176,1,2,4,12
88.04,44.0,50723.67,120.63,190,357,0,37,0,2,0,22
70.58,28.0,72948.76,230.52,222,506,0,34,1,0,12,20
81.22,29.0,56113.37,216.49,168,161,0,122,0,0,11,3
79.54,25.0,50671.6,241.03,219,169,1,95,0,2,10,6
42.04,37.0,67132.46,201.58,397,205,0,27,0,0,7,22
82.07,41.0,57846.68,126.39,421,484,0,25,1,1,26,15
44.33,39.0,38067.08,124.44,56,316,0,163,0,2,6,20
55.6,24.0,57691.95,182.2,496,507,1,168,0,6,11,10
65.59,39.0,59457.52,222.25,260,363,1,172,0,0,2,16
57.99,49.0,45632.51,168.34,508,333,1,12,0,2,10,0
52.68,35.0,25603.93,236.87,360,306,0,81,0,6,17,1
50.08,40.0,73882.91,132.63,471,348,1,80,0,5,19,8
65.07,34.0,59785.94,160.03,45,182,0,188,1,3,4,18
80.3,52.0,33951.63,130.86,98,421,1,42,1,5,15,2
70.44,34.0,59785.94,160.03,45,284,0,24,1,1,19,9
70.39,27.0,39193.45,203.9,545,167,1,52,0,2,22,21
72.23,40.0,41232.89,120.37,553,399,0,29,0,4,1,7
50.08,36.0,29398.61,140.46,264,475,0,122,0,6,5,5
42.04,37.0,53058.91,181.02,352,85,0,17,0,1,9,19
79.52,38.0,64564.07,122.04,470,436,1,203,1,1,12,7
78.7,32.0,55424.24,172.83,161,129,0,82,1,5,8,21
51.24,36.0,29398.61,141.52,511,180,0,191,1,2,11,7
79.52,41.0,57846.68,259.76,147,306,0,81,0,6,4,20
70.39,54.0,73049.3,117.33,164,487,1,103,1,0,0,5
66.08,33.0,77988.71,215.18,449,469,0,84,0,5,16,20
61.22,31.0,56180.93,207.17,152,344,0,166,0,6,10,9
67.56,28.0,71222.4,204.79,222,149,0,41,0,4,5,21
83.71,38.0,57868.44,130.83,76,436,1,203,1,1,12,7
72.23,33.0,57868.44,191.82,220,439,1,172,1,1,5,17
80.3,49.0,45632.51,113.8,450,464,0,51,1,3,26,4
86.06,35.0,25603.93,109.07,302,117,0,1,1,5,28,2
70.58,31.0,58235.21,207.17,363,269,0,189,0,1,25,22
54.97,33.0,55984.89,204.27,48,328,1,0,1,6,13,22
55.6,39.0,38067.08,258.62,548,93,0,116,1,1,11,8
79.54,25.0,50506.44,241.03,151,414,1,64,0,2,17,13
43.49,37.0,23936.86,181.02,352,205,0,27,0,0,7,22
56.39,40.0,62669.59,117.3,334,209,1,53,1,2,22,6
76.77,36.0,29398.61,222.25,222,105,0,33,0,1,25,19
40.47,27.0,56180.93,190.17,532,267,0,146,1,1,9,19
78.36,34.0,40183.75,160.03,45,182,0,188,0,2,10,0
43.49,37.0,61172.07,181.02,60,260,1,119,0,2,22,21
40.04,34.0,20592.99,168.34,45,188,0,188,0,2,10,0
59.36,38.0,39031.89,195.69,60,464,0,27,0,3,3,20
40.04,23.0,40135.06,222.87,40,333,0,44,1,0,13,14
41.73,28.0,51501.38,120.49,311,260,1,105,0,3,7,22
66.12,28.0,59448.44,230.52,222,506,0,103,1,5,19,14
84.73,36.0,76003.47,140.46,484,474,0,75,1,4,12,14
43.6,39.0,75044.35,236.87,33,306,0,156,0,4,11,4
42.04,37.0,53058.91,129.31,40,464,0,9,1,5,4,7
51.24,36.0,61610.05,124.44,511,272,0,49,1,0,2,16
71.84,39.0,37334.78,190.75,241,91,1,3,0,6,7,3
84.73,26.0,60997.84,131.68,93,406,0,1,1,4,23,13
43.49,37.0,75180.2,181.02,548,205,0,9,1,1,9,19
70.92,31.0,27262.51,217.37,529,149,0,44,1,4,5,21
80.3,37.0,67132.46,177.55,548,105,0,27,0,6,12,21
52.68,32.0,55424.24,178.92,167,338,1,61,0,0,17,2
69.77,35.0,66541.05,226.54,302,345,1,81,0,5,28,13
80.47,33.0,52736.33,113.12,1,418,1,200,0,2,23,6
72.55,31.0,66348.95,124.44,133,269,0,117,0,5,28,13
51.87,49.0,39031.89,195.69,233,281,1,0,1,3,4,18
81.98,22.0,63430.33,136.21,79,473,0,197,0,0,28,7
40.17,26.0,63430.33,140.46,368,461,0,193,0,2,7,18
65.65,41.0,39799.73,156.48,85,161,0,149,0,0,4,20
56.16,33.0,43974.49,196.77,140,519,0,82,1,1,26,20
47.74,40.0,73882.91,221.98,471,415,1,80,0,5,19,8
78.79,36.0,73882.91,214.33,164,123,1,162,0,5,19,8
51.56,27.0,56180.93,193.29,545,76,1,47,0,2,18,11
56.39,19.0,58966.22,163.0,319,418,1,172,0,1,2,15
82.07,35.0,50723.67,259.76,264,64,0,5,0,3,0,16
43.49,37.0,23936.86,109.29,260,260,1,103,1,5,19,14
56.16,26.0,53336.76,131.68,471,75,1,107,0,0,7,19
41.73,28.0,32252.38,217.37,437,149,0,62,0,4,3,12
59.51,32.0,55424.24,172.83,65,379,1,20,0,4,7,10
78.7,46.0,33951.63,221.98,171,7,1,176,1,4,14,18
47.74,36.0,50628.31,126.39,241,76,1,187,1,4,30,23
55.6,35.0,73889.99,225.58,421,345,1,61,1,0,25,2
75.15,33.0,46868.53,204.02,153,279,1,200,0,2,1,4
82.79,35.0,73889.99,226.54,331,510,1,119,1,1,10,16
49.21,30.0,58677.69,172.83,462,184,0,201,0,4,7,10
56.39,19.0,40468.53,193.29,59,63,0,52,1,1,27,23
79.52,25.0,50671.6,241.03,390,331,0,118,1,5,9,0
75.71,51.0,41547.62,111.94,143,411,1,155,0,4,7,10
83.71,44.0,64564.07,187.76,134,436,0,137,1,3,20,19
47.48,27.0,66815.54,120.75,164,161,0,192,0,4,20,1
86.06,32.0,55424.24,178.92,35,234,1,66,0,2,30,20
33.33,45.0,74903.41,174.88,426,112,0,178,1,2,4,12
81.98,22.0,52340.1,128.62,292,339,0,158,0,6,4,22
68.88,42.0,60514.05,236.87,212,136,0,44,1,3,5,11
55.6,35.0,42993.48,221.18,488,172,1,116,1,2,17,13
84.98,24.0,52252.91,178.92,35,234,1,2,0,2,17,13
56.39,60.0,69646.35,218.61,363,31,0,17,1,2,15,20
85.84,38.0,70005.51,197.93,5,403,0,60,1,4,18,14
88.04,41.0,64828.0,236.87,531,136,0,42,1,4,18,14
59.22,40.0,57594.7,244.91,556,435,1,20,1,2,17,13
43.49,27.0,39193.45,131.29,59,422,1,206,0,2,22,21
65.65,30.0,58677.69,219.94,462,184,0,149,0,0,4,20
50.63,31.0,61067.58,236.87,302,9,1,81,0,6,3,23
40.47,40.0,38067.08,140.46,266,370,0,49,1,1,16,20
40.17,25.0,59886.58,165.52,483,91,1,95,0,2,10,6
75.42,30.0,57877.15,111.94,35,379,1,20,0,4,7,10
76.58,33.0,44174.25,120.75,153,8,1,125,0,5,6,1
41.73,28.0,71222.4,204.79,248,75,0,205,0,4,29,18
76.81,28.0,71222.4,217.37,408,479,0,9,1,4,3,12
75.42,26.0,31265.75,140.83,437,96,1,20,0,4,7,10
88.04,44.0,48335.2,187.76,510,357,0,5,0,4,14,13
65.59,47.0,39031.89,195.69,307,464,1,128,1,2,21,6
88.04,38.0,70582.55,206.98,149,436,1,57,0,3,3,22
40.47,29.0,56113.37,112.72,106,63,0,23,0,5,2,1
73.72,36.0,32549.95,109.07,199,519,1,60,1,3,26,4
80.99,26.0,44248.52,221.98,554,305,1,107,0,1,27,23
46.61,41.0,55121.65,126.39,467,136,0,80,1,4,26,8
60.23,22.0,61009.1,198.45,153,352,1,51,0,1,5,17
35.61,37.0,67132.46,258.62,548,425,0,128,1,6,22,4
81.58,41.0,57846.68,126.39,467,484,1,187,1,4,30,23
37.0,30.0,58677.69,219.94,462,379,0,149,0,0,4,20
59.88,26.0,46033.73,207.17,90,75,1,166,0,5,20,14
54.43,37.0,61228.96,258.62,47,506,0,118,1,4,7,22
41.73,31.0,61840.26,207.17,437,460,1,167,0,5,15,2
55.6,35.0,42993.48,221.18,488,505,1,105,1,0,25,2
41.73,28.0,71222.4,221.94,323,506,0,44,1,4,5,21
41.73,28.0,67132.46,217.37,60,429,0,62,0,0,7,22
41.73,28.0,67301.39,217.37,241,479,1,105,1,1,13,10
78.64,39.0,49282.87,258.62,423,506,1,18,1,1,8,7
62.26,32.0,70505.06,221.21,355,218,0,56,1,4,23,13
51.24,36.0,61610.05,140.46,410,93,0,191,1,1,2,7
52.84,26.0,56694.12,131.68,304,406,0,10,0,4,14,13
78.64,41.0,50628.31,144.77,241,146,1,53,1,3,25,13
41.73,28.0,71222.4,217.37,227,379,0,62,0,5,29,0
80.3,29.0,66504.16,173.43,233,415,1,9,1,0,4,16
71.03,39.0,38067.08,207.17,222,269,0,205,0,5,6,23
80.3,49.0,45632.51,113.8,450,464,0,128,1,3,3,20
62.26,25.0,50671.6,138.71,35,117,1,64,0,3,27,2
51.24,36.0,76003.47,203.9,91,264,1,18,1,0,2,16
55.6,35.0,50506.44,214.42,421,405,0,157,0,5,28,2
71.84,39.0,56180.93,165.52,127,460,1,3,0,0,13,16
71.28,36.0,29398.61,222.25,546,110,0,192,0,1,25,19
62.42,22.0,63363.04,245.89,233,25,1,74,0,3,8,16
83.71,38.0,57868.44,130.83,334,436,1,203,1,3,21,2
71.28,54.0,37908.29,182.2,546,477,0,38,1,1,25,19
76.87,43.0,66873.9,198.45,233,198,1,204,0,5,16,9
68.88,42.0,59243.46,143.13,418,136,1,194,1,3,5,11
76.06,39.0,37334.78,258.62,47,506,0,118,1,4,7,22
51.24,36.0,59240.24,128.62,21,123,0,93,0,2,12,20
43.6,35.0,51119.93,109.07,192,519,1,183,1,5,28,13
56.3,29.0,61172.07,216.49,437,35,1,133,0,0,25,2
79.81,34.0,34191.23,168.34,45,182,1,50,0,2,10,0
56.34,40.0,31265.75,232.78,437,435,1,20,0,4,7,10
46.14,26.0,56694.12,190.17,537,465,0,62,0,1,14,16
34.78,30.0,66359.32,229.99,295,406,1,148,0,0,19,19
73.49,26.0,53336.76,131.68,318,406,1,115,0,2,10,6
55.55,39.0,48335.2,124.44,222,105,0,149,0,0,2,7
76.87,31.0,56180.93,207.17,24,229,0,166,0,5,20,14
85.62,25.0,50506.44,140.46,101,461,0,98,0,0,2,7
46.14,28.0,39799.73,217.37,437,379,0,62,0,4,3,12
39.36,42.0,57868.44,120.75,541,436,1,44,1,1,18,13
41.73,34.0,40763.13,160.03,45,376,1,157,1,1,26,8
41.73,31.0,42078.89,171.23,437,360,0,166,0,5,20,14
52.84,23.0,25739.09,172.81,321,136,0,44,1,0,13,14
63.45,31.0,61840.26,207.17,438,307,1,81,0,0,15,17
81.1,31.0,58235.21,207.17,437,236,1,3,0,4,18,11
65.77,34.0,59785.94,160.03,45,284,0,90,1,3,26,4
43.49,37.0,75180.2,195.69,233,400,1,9,0,3,3,20
59.59,22.0,31215.88,121.07,79,407,0,197,0,6,2,4
72.23,30.0,50671.6,244.91,85,47,1,75,0,3,26,4
46.61,55.0,58633.63,187.76,180,108,0,185,1,3,20,9
72.97,25.0,50671.6,241.03,335,225,1,64,0,2,17,13
60.23,44.0,60575.99,139.34,153,508,1,136,0,3,2,21
80.51,55.0,55015.08,157.04,93,69,0,185,1,3,20,9
39.36,44.0,66025.11,231.48,248,136,1,44,0,4,18,11
36.08,35.0,54324.73,167.42,85,498,0,149,0,0,4,20
76.2,33.0,47929.83,178.69,1,279,1,84,0,1,8,5
40.47,35.0,42696.67,168.41,441,510,1,81,0,2,13,23
56.39,40.0,73882.91,167.22,144,105,0,149,0,0,2,7
85.62,25.0,50506.44,241.03,335,117,1,64,0,3,27,2
42.04,52.0,73049.3,230.18,201,234,1,42,0,0,17,2
59.22,40.0,73882.91,133.2,517,50,1,158,0,2,8,14
36.73,31.0,59677.64,207.17,437,515,1,176,0,5,15,2
48.46,25.0,50506.44,241.03,302,461,0,70,0,0,2,7
80.99,26.0,68030.18,154.74,144,507,1,155,0,2,17,13
80.3,29.0,69718.19,153.76,25,257,0,27,0,2,25,19
85.62,25.0,50506.44,202.18,80,461,0,149,0,0,2,7
89.0,51.0,74535.94,188.56,143,281,1,200,1,2,5,11
51.24,54.0,38609.2,182.2,546,477,0,169,0,2,30,20
44.78,26.0,56694.12,190.17,221,75,0,14,1,0,22,4
43.49,31.0,59677.64,207.17,83,243,1,81,0,6,8,11
78.7,33.0,57868.44,178.75,64,132,0,82,1,4,27,12
52.68,32.0,70505.06,172.83,161,234,0,34,0,3,27,22
64.75,31.0,56180.93,135.18,19,229,0,182,0,0,2,7
71.14,31.0,51739.63,207.17,90,460,1,81,0,5,1,21
55.6,24.0,52252.91,182.2,506,477,0,2,0,1,24,16
43.67,26.0,53336.76,259.76,33,461,0,193,0,2,7,18
40.04,42.0,60514.05,238.58,212,458,0,39,1,4,18,14
55.6,35.0,42993.48,236.87,421,172,0,116,1,3,6,15
65.65,30.0,57877.15,198.72,535,234,0,149,0,5,28,10
65.65,41.0,49850.52,219.94,85,16,0,149,0,0,4,20
80.3,49.0,39031.89,195.69,450,464,1,9,1,3,3,20
80.31,45.0,32252.38,207.17,437,191,0,22,0,1,25,22
60.23,44.0,65883.39,139.34,153,15,1,40,0,0,29,16
79.54,41.0,57846.68,227.63,467,248,1,187,1,4,30,23
82.07,38.0,57868.44,122.04,497,436,1,57,0,0,4,20
79.52,41.0,57846.68,126.39,110,331,0,118,1,1,15,12
55.6,39.0,35253.98,230.52,222,506,0,39,1,4,7,22
78.64,32.0,69481.85,230.18,488,298,1,161,1,5,8,21
43.6,35.0,55121.65,204.79,44,65,1,3,0,6,8,11
80.3,52.0,33951.63,186.37,501,404,0,51,1,6,18,8
42.04,49.0,45632.51,113.8,450,464,0,128,1,1,4,16
40.04,28.0,67669.06,199.39,463,177,1,196,0,3,17,15
41.73,31.0,61840.26,212.87,437,501,1,166,0,4,17,3
82.07,22.0,73941.91,133.2,449,64,0,197,0,6,2,4
45.99,33.0,61005.87,113.12,169,198,1,85,0,5,11,21
56.39,29.0,69646.35,191.82,554,481,1,147,1,0,4,16
43.49,37.0,58235.21,109.29,311,260,1,105,0,6,20,10
35.61,35.0,25603.93,236.87,302,497,0,55,0,5,28,2
86.06,32.0,69481.85,178.92,488,298,1,161,1,6,12,11
47.48,29.0,69646.35,219.94,242,37,0,27,0,3,16,21
68.88,23.0,55121.65,172.81,321,134,1,196,0,2,8,3
37.0,30.0,57877.15,138.71,35,284,1,20,0,4,7,10
40.01,45.0,76480.16,137.24,122,515,1,118,1,6,9,17
70.58,28.0,73207.15,230.52,450,506,0,198,1,1,26,12
70.29,31.0,52178.98,240.64,301,215,1,22,0,5,20,14
40.47,36.0,31281.01,222.25,164,54,1,33,0,5,19,8
62.26,28.0,59457.52,187.76,33,10,1,40,0,1,25,6
55.92,34.0,59785.94,160.03,45,87,0,82,1,3,26,4
55.6,37.0,58235.21,109.29,165,241,1,172,0,0,25,2
41.73,28.0,67669.06,217.37,227,379,0,41,0,1,25,1
78.84,35.0,23410.75,225.58,421,516,0,125,0,6,11,10
54.88,22.0,67058.72,121.07,79,292,0,197,0,6,2,4
80.47,38.0,57868.44,206.98,419,357,1,92,1,4,18,14
60.23,43.0,57868.44,198.45,300,355,1,136,1,3,2,21
51.87,46.0,66291.67,218.61,545,2,1,9,1,0,11,10
88.12,26.0,53336.76,131.68,144,243,1,166,0,5,9,3
43.49,28.0,53058.91,230.52,222,506,0,48,1,1,26,12
40.17,26.0,62669.59,228.78,35,510,1,66,0,0,7,19
69.62,34.0,34191.23,203.84,45,303,1,82,0,2,10,0
55.6,27.0,36884.23,231.42,175,233,1,129,0,5,16,20
88.12,26.0,74903.41,228.78,298,75,1,48,0,0,4,6
86.06,24.0,64698.58,161.16,396,507,1,168,0,0,2,16
78.84,36.0,59240.24,222.25,511,294,0,192,0,3,11,4
66.08,19.0,31215.88,133.2,101,499,0,27,0,6,2,4
81.58,41.0,63363.04,167.86,170,76,1,41,1,4,12,11
65.59,39.0,59677.64,212.87,420,318,1,30,0,5,19,14
79.52,41.0,57846.68,126.39,147,484,0,49,1,0,4,17
80.47,43.0,51119.93,198.45,300,355,1,136,1,3,2,21
73.72,39.0,37334.78,236.87,548,172,0,157,1,1,28,23
51.24,27.0,63879.72,190.17,249,218,0,193,1,4,16,6
81.22,41.0,57846.68,172.57,147,69,0,49,1,0,26,18
61.22,36.0,32549.95,115.26,413,144,1,129,0,3,6,15
42.04,37.0,23936.86,231.28,548,519,0,41,1,1,9,19
80.99,26.0,68030.18,131.68,388,510,1,172,0,4,30,23
75.55,40.0,73882.91,139.02,517,20,1,68,0,6,2,4
49.21,52.0,47708.42,229.12,468,519,0,68,1,3,3,8
41.49,32.0,69481.85,118.27,355,218,0,100,1,2,6,20
37.0,30.0,57877.15,201.58,484,46,1,20,0,5,28,10
62.26,25.0,50671.6,241.03,335,258,1,95,0,3,6,15
56.16,29.0,54286.1,120.06,326,86,0,31,1,0,10,2
49.21,27.0,56180.93,193.29,462,329,0,192,0,0,24,7
41.73,28.0,59677.64,120.49,311,479,1,105,0,3,20,19
73.89,31.0,55121.65,236.87,475,6,0,44,1,4,5,21
44.4,53.0,57877.15,111.94,35,284,1,20,1,4,7,10
42.04,37.0,62772.42,195.69,233,205,1,172,0,5,15,2
46.61,45.0,74903.41,174.88,426,118,0,178,1,2,4,12
75.55,36.0,59240.24,140.46,222,294,0,149,0,1,25,19
71.84,39.0,31281.01,207.17,90,460,1,60,0,0,13,16
80.3,37.0,70492.6,195.69,233,400,1,9,0,3,3,20
79.54,41.0,57846.68,137.24,472,285,0,118,1,3,3,18
43.49,37.0,58235.21,195.69,233,400,1,9,0,3,3,20
54.88,40.0,73941.91,139.02,109,475,0,68,0,6,2,4
51.38,46.0,40468.53,193.29,74,200,0,17,1,5,2,21
43.84,36.0,50628.31,133.9,524,519,1,75,1,3,21,0
81.98,22.0,41547.62,210.87,153,401,0,197,0,0,29,16
76.2,33.0,41547.62,204.02,115,281,1,133,0,1,2,15
54.37,24.0,52252.91,182.2,509,494,0,2,0,2,2,22
41.73,28.0,71222.4,217.37,119,479,0,62,0,4,3,12
68.11,26.0,74903.41,228.78,440,75,1,21,1,0,0,15
62.26,36.0,32549.95,115.26,471,224,1,129,0,3,3,11
56.34,40.0,62669.59,122.59,524,435,1,53,0,4,7,10
66.26,28.0,38067.08,180.47,278,201,0,62,0,1,14,16
51.24,36.0,61610.05,140.46,511,272,0,49,1,0,2,16
56.16,30.0,33293.78,228.81,484,184,0,29,0,2,8,6
62.42,29.0,69646.35,190.12,233,100,1,88,0,1,8,5
55.6,31.0,58235.21,207.17,301,65,1,81,0,0,17,2
55.6,35.0,42993.48,225.58,488,516,0,125,0,6,17,1
39.3,29.0,69718.19,208.05,164,161,0,27,0,2,8,0
55.6,35.0,73889.99,226.54,302,223,1,133,0,6,1,20
71.33,36.0,38067.08,140.46,145,316,0,175,0,1,25,19
34.3,34.0,34191.23,168.34,45,182,1,50,0,2,10,0
61.22,25.0,50723.67,241.03,343,258,1,81,0,3,6,15
